userId|tweetsHome|homeLatitude|homeLongitude|tweetsWork|workLatitude|workLongitude|distance|time|homeCanton|workCanton
41483|13.0|46.2|6.16|6.0|46.21|6.14|2.351|11.616666666666667|GE|GE
99983|7.0|47.5|8.74|17.0|47.44|8.56|24.612|24.833333333333332|ZH|ZH
626163|19.0|46.17|9.0|17.0|46.04|8.92|24.885|21.85|TI|TI
634553|30.0|46.2|6.2|41.0|46.19|6.14|7.875|18.35|GE|GE
640043|10.0|45.79|9.37|5.0|46.01|8.91|74.209|78.43333333333334|Lombardia|TI
754363|11.0|47.42|9.37|9.0|47.38|8.54|83.815|54.75|SG|ZH
802980|14.0|47.05|8.31|5.0|47.38|8.54|52.647|48.833333333333336|LU|ZH
994621|20.0|47.4|8.5|8.0|47.37|8.55|5.462|16.166666666666668|ZH|ZH
1079931|215.0|47.16|8.29|49.0|47.2|8.48|24.762|24.2|LU|ZG
1438611|41.0|46.23|7.37|28.0|46.23|7.36|1.766|5.016666666666667|VS|VS
2129311|10.0|47.41|8.56|9.0|47.37|8.55|6.14|14.15|ZH|ZH
5724012|8.0|47.5|8.72|7.0|47.49|8.71|1.676|5.9|ZH|ZH
5738252|15.0|46.73|6.53|6.0|46.52|6.62|32.904|26.9|VD|VD
5908302|36.0|47.48|8.31|57.0|47.38|8.49|21.936|23.016666666666666|AG|ZH
5911822|11.0|47.26|8.59|7.0|47.39|8.52|23.567|28.0|ZH|ZH
6173342|9.0|47.37|8.51|6.0|47.38|8.52|2.376|10.2|ZH|ZH
6194482|35.0|47.32|8.55|7.0|47.37|8.54|6.308|13.166666666666666|ZH|ZH
6416332|5.0|46.85|9.47|7.0|46.85|9.53|7.948|23.916666666666668|GR|GR
7128662|17.0|46.2|6.12|18.0|46.2|6.13|2.586|8.55|GE|GE
8266702|77.0|46.95|7.45|24.0|46.95|7.44|1.713|7.016666666666667|BE|BE
8614392|45.0|47.56|7.59|34.0|47.57|7.6|2.263|7.2|BS|BS
8883972|8.0|47.39|8.6|7.0|47.37|8.53|7.785|17.483333333333334|ZH|ZH
9088312|23.0|47.39|8.54|9.0|47.38|8.54|1.674|5.85|ZH|ZH
9197312|21.0|47.51|8.7|25.0|47.39|8.52|26.888|23.266666666666666|ZH|ZH
9412792|30.0|47.79|7.35|9.0|47.39|8.49|116.212|78.31666666666666|Grand Est|ZH
9482442|14.0|46.39|6.22|8.0|46.38|6.24|2.774|5.816666666666666|VD|VD
9914592|15.0|46.52|6.63|15.0|46.51|6.66|2.77|8.15|VD|VD
9962022|8.0|46.83|9.29|8.0|47.41|8.59|138.218|104.1|GR|ZH
10517692|22.0|47.39|8.54|7.0|47.38|8.53|2.004|6.916666666666667|ZH|ZH
11855622|16.0|47.37|8.27|14.0|47.18|8.51|43.119|41.0|AG|ZG
12181922|21.0|46.25|6.2|27.0|46.52|6.58|68.264|55.43333333333333|GE|VD
12684482|15.0|46.54|6.58|15.0|46.52|6.57|3.912|9.833333333333334|VD|VD
12937692|22.0|46.87|8.63|6.0|47.05|8.31|41.994|35.13333333333333|UR|LU
12960732|17.0|47.38|8.52|17.0|47.38|8.53|1.501|6.216666666666667|ZH|ZH
13199732|11.0|47.42|9.38|7.0|47.42|9.37|1.75|4.3|SG|SG
13448872|7.0|46.24|6.1|40.0|46.2|6.14|8.382|22.75|Auvergne-Rhône-Alpes|GE
13535402|14.0|47.41|8.54|7.0|47.4|8.53|1.897|4.683333333333334|ZH|ZH
13614832|32.0|46.94|7.46|16.0|46.94|7.45|1.8|5.316666666666666|BE|BE
13993622|27.0|47.4|8.52|6.0|47.36|8.55|7.097|20.216666666666665|ZH|ZH
14102613|20.0|47.38|8.54|9.0|46.95|7.44|122.979|82.46666666666667|ZH|BE
14260616|109.0|47.46|8.25|79.0|47.48|8.3|9.576|14.583333333333334|AG|AG
14274896|127.0|46.94|7.43|45.0|46.95|7.45|5.08|13.1|BE|BE
14421057|27.0|47.38|8.53|6.0|47.37|8.55|2.756|10.533333333333333|ZH|ZH
14542024|82.0|47.37|8.52|19.0|47.37|8.54|2.551|9.466666666666667|ZH|ZH
14657884|88.0|46.2|6.14|99.0|46.18|6.14|2.703|10.616666666666667|GE|GE
14838584|56.0|47.48|8.3|56.0|47.38|8.53|23.575|28.533333333333335|AG|ZH
14883985|29.0|46.87|9.88|9.0|47.27|8.58|122.727|88.66666666666667|GR|ZH
14899742|69.0|46.25|6.03|73.0|46.2|6.16|12.838|31.016666666666666|Auvergne-Rhône-Alpes|GE
14973652|5.0|47.74|8.97|5.0|47.4|8.5|89.696|70.65|BW|ZH
15017105|10.0|47.34|8.48|6.0|47.38|8.54|14.216|27.85|ZH|ZH
15402923|8.0|47.48|8.31|9.0|47.38|8.52|22.755|25.766666666666666|AG|ZH
15498938|8.0|47.37|8.53|19.0|47.37|8.55|2.583|9.383333333333333|ZH|ZH
15596215|8.0|47.45|8.56|19.0|47.41|8.55|7.319|9.033333333333333|ZH|ZH
15602037|11.0|47.37|8.54|7.0|47.38|8.53|2.197|8.833333333333334|ZH|ZH
15608372|9.0|47.55|7.59|8.0|47.56|7.61|2.736|9.933333333333334|BS|BS
15860331|10.0|47.38|8.57|5.0|47.38|8.52|7.054|18.0|ZH|ZH
15875748|6.0|47.31|8.53|5.0|47.37|8.52|11.093|13.15|ZH|ZH
15882367|10.0|46.93|7.38|61.0|46.95|7.39|6.395|6.966666666666667|BE|BE
16145458|36.0|46.76|9.44|37.0|46.04|8.93|126.827|93.5|GR|TI
16218801|23.0|47.55|7.59|34.0|47.55|7.6|1.946|6.783333333333333|BS|BS
16329076|23.0|46.81|7.16|27.0|46.95|7.44|34.038|30.65|FR|BE
17062826|40.0|47.0|8.01|47.0|47.37|8.54|78.974|73.38333333333334|LU|ZH
17197547|11.0|47.41|8.51|18.0|47.37|8.55|7.547|19.516666666666666|ZH|ZH
18019485|56.0|47.36|8.53|6.0|47.38|8.55|4.277|14.883333333333333|ZH|ZH
18124018|14.0|47.56|8.86|9.0|47.41|8.54|41.578|30.666666666666668|TG|ZH
